Date,Price,Open,High,Low,Change %
05/06/2003,4104.30,4126.60,4148.40,4083.10,-0.54
04/06/2003,4126.60,4115.70,4143.50,4093.10,0.26
03/06/2003,4115.70,4129.30,4129.30,4074.40,-0.33
02/06/2003,4129.30,4048.10,4129.30,4048.10,2.01
30/05/2003,4048.10,4083.60,4096.00,4048.10,-0.87
29/05/2003,4083.60,4071.90,4095.50,4044.40,0.29
28/05/2003,4071.90,3992.40,4073.10,3992.40,1.99
27/05/2003,3992.40,3979.80,4000.70,3920.20,0.32
23/05/2003,3979.80,3990.40,4012.00,3954.00,-0.27
22/05/2003,3990.40,3936.40,3990.40,3936.40,1.37
21/05/2003,3936.40,3971.60,3971.60,3907.80,-0.89
20/05/2003,3971.60,3941.30,3985.00,3928.40,0.77
19/05/2003,3941.30,4049.00,4049.00,3932.50,-2.66
16/05/2003,4049.00,4011.10,4080.80,4011.10,0.94
15/05/2003,4011.10,3975.00,4020.30,3965.60,0.91
14/05/2003,3975.00,3999.90,4023.20,3971.70,-0.62
13/05/2003,3999.90,3987.40,4008.80,3976.10,0.31
12/05/2003,3987.40,3969.40,3991.00,3941.10,0.45
09/05/2003,3969.40,3928.90,3974.50,3912.80,1.03
08/05/2003,3928.90,3992.90,3992.90,3919.50,-1.60
07/05/2003,3992.90,4006.40,4038.50,3981.70,-0.34
06/05/2003,4006.40,3952.60,4007.00,3952.60,1.36
02/05/2003,3952.60,3880.10,3952.60,3880.10,1.87
01/05/2003,3880.10,3926.00,3926.00,3875.30,-1.17
30/04/2003,3926.00,3927.80,3943.00,3912.30,-0.05
29/04/2003,3927.80,3940.30,3976.20,3915.00,-0.32
28/04/2003,3940.30,3870.20,3943.00,3855.50,1.81
25/04/2003,3870.20,3899.00,3919.40,3859.90,-0.74
24/04/2003,3899.00,3966.50,3977.80,3892.20,-1.70
23/04/2003,3966.50,3917.70,3997.30,3917.70,1.25
22/04/2003,3917.70,3889.20,3924.20,3873.90,0.73
17/04/2003,3889.20,3854.90,3904.60,3826.10,0.89
16/04/2003,3854.90,3916.80,3967.80,3849.50,-1.58
15/04/2003,3916.80,3849.40,3926.50,3849.40,1.75
14/04/2003,3849.40,3808.10,3857.40,3800.70,1.08
11/04/2003,3808.10,3803.30,3871.40,3803.30,0.13
10/04/2003,3803.30,3861.40,3870.70,3803.20,-1.50
09/04/2003,3861.40,3868.80,3907.10,3824.50,-0.19
08/04/2003,3868.80,3935.80,3935.80,3868.50,-1.70
07/04/2003,3935.80,3814.40,3962.20,3814.40,3.18
04/04/2003,3814.40,3771.10,3841.70,3751.70,1.15
03/04/2003,3771.10,3753.40,3808.50,3744.40,0.47
02/04/2003,3753.40,3684.80,3778.30,3682.00,1.86
01/04/2003,3684.80,3613.30,3691.80,3612.30,1.98
31/03/2003,3613.30,3708.50,3708.50,3580.90,-2.57
28/03/2003,3708.50,3729.10,3752.60,3695.70,-0.55
27/03/2003,3729.10,3793.10,3793.10,3711.50,-1.69
26/03/2003,3793.10,3762.00,3809.50,3735.00,0.83
25/03/2003,3762.00,3743.30,3782.80,3660.40,0.50
24/03/2003,3743.30,3861.10,3861.10,3734.10,-3.05
21/03/2003,3861.10,3765.70,3881.70,3765.70,2.53
20/03/2003,3765.70,3765.40,3790.70,3715.80,0.01
19/03/2003,3765.40,3747.30,3828.30,3716.50,0.48
